File Name,Extension,Size (KB),Last Modified,Relative Path,Full Path
dev_dashboard.py,.py,2.48,1750477035.9586043,dev_dashboard.py,/home/slyslickmojo/Slick_AI/dev_dashboard.py
setup_modules.py,.py,0.02,1750284702.0,setup_modules.py,/home/slyslickmojo/Slick_AI/setup_modules.py
mediation_engine.py,.py,0.02,1750284702.0,mediation_engine.py,/home/slyslickmojo/Slick_AI/mediation_engine.py
current_manifest.txt,.txt,1691.6,1750311490.1566353,current_manifest.txt,/home/slyslickmojo/Slick_AI/current_manifest.txt
generate_csv.py,.py,1.36,1750496578.6509497,generate_csv.py,/home/slyslickmojo/Slick_AI/generate_csv.py
setup_web_interface.py,.py,0.02,1750284702.0,setup_web_interface.py,/home/slyslickmojo/Slick_AI/setup_web_interface.py
run_api.sh,.sh,0.17,1750293802.2455695,run_api.sh,/home/slyslickmojo/Slick_AI/run_api.sh
cohesion_plan.py,.py,1.44,1750315561.7804618,cohesion_plan.py,/home/slyslickmojo/Slick_AI/cohesion_plan.py
DEEP_session_save.py,.py,0.02,1750284702.0,DEEP_session_save.py,/home/slyslickmojo/Slick_AI/DEEP_session_save.py
test_enhanced.py,.py,0.71,1750284994.1854794,test_enhanced.py,/home/slyslickmojo/Slick_AI/test_enhanced.py
action_plan.txt,.txt,0.23,1750315041.1534398,action_plan.txt,/home/slyslickmojo/Slick_AI/action_plan.txt
setup.py,.py,0.01,1750284702.0,setup.py,/home/slyslickmojo/Slick_AI/setup.py
file_manifest.txt,.txt,1920.98,1750296409.4060419,file_manifest.txt,/home/slyslickmojo/Slick_AI/file_manifest.txt
requirements_backup.txt,.txt,0.25,1750312411.99032,requirements_backup.txt,/home/slyslickmojo/Slick_AI/requirements_backup.txt
session_blueprint.csv,.csv,0.66,1750316540.0410163,session_blueprint.csv,/home/slyslickmojo/Slick_AI/session_blueprint.csv
structure.txt,.txt,73.3,1750296397.5959942,structure.txt,/home/slyslickmojo/Slick_AI/structure.txt
requirements.txt,.txt,0.85,1750312777.8818097,requirements.txt,/home/slyslickmojo/Slick_AI/requirements.txt
slick_ai_system.zip,.zip,6.87,1750267457.8509061,slick_ai_system.zip,/home/slyslickmojo/Slick_AI/slick_ai_system.zip
compare.py,.py,1.34,1750314576.4165747,compare.py,/home/slyslickmojo/Slick_AI/compare.py
.env,,0.4,1750354196.9416296,.env,/home/slyslickmojo/Slick_AI/.env
.gitkeep,,0.0,1750279957.5773795,data/.gitkeep,/home/slyslickmojo/Slick_AI/data/.gitkeep
memory.db,.db,0.28,1750280613.249811,data/memory.db,/home/slyslickmojo/Slick_AI/data/memory.db
usage.db,.db,8.0,1750285080.8659716,data/usage.db,/home/slyslickmojo/Slick_AI/data/usage.db
external_service.py,.py,0.02,1750284702.0,services/external_service.py,/home/slyslickmojo/Slick_AI/services/external_service.py
internal_service.py,.py,0.02,1750284702.0,services/internal_service.py,/home/slyslickmojo/Slick_AI/services/internal_service.py
__init__.py,.py,0.01,1750284702.0,services/__init__.py,/home/slyslickmojo/Slick_AI/services/__init__.py
short_term.py,.py,0.02,1750284702.0,memory/short_term.py,/home/slyslickmojo/Slick_AI/memory/short_term.py
long_term.py,.py,0.01,1750284702.0,memory/long_term.py,/home/slyslickmojo/Slick_AI/memory/long_term.py
__init__.py,.py,0.06,1750279546.2058432,memory/__init__.py,/home/slyslickmojo/Slick_AI/memory/__init__.py
MemoryBank.py,.py,2.07,1750279543.8258343,memory/MemoryBank.py,/home/slyslickmojo/Slick_AI/memory/MemoryBank.py
logger.py,.py,0.4,1750311544.2568524,session_tools/logger.py,/home/slyslickmojo/Slick_AI/session_tools/logger.py
session_logger.py,.py,0.0,1750298647.4050276,session_tools/session_logger.py,/home/slyslickmojo/Slick_AI/session_tools/session_logger.py
test_basic.py,.py,0.49,1750276031.3327742,tests/test_basic.py,/home/slyslickmojo/Slick_AI/tests/test_basic.py
test_engine.py,.py,0.73,1750279938.6073084,tests/unit/test_engine.py,/home/slyslickmojo/Slick_AI/tests/unit/test_engine.py
example_knowledge.csv,.csv,0.02,1750284702.0,backup/example_knowledge.csv,/home/slyslickmojo/Slick_AI/backup/example_knowledge.csv
example_memory.csv,.csv,0.02,1750284702.0,backup/example_memory.csv,/home/slyslickmojo/Slick_AI/backup/example_memory.csv
main.py,.py,0.52,1750370504.5518932,Slick_AI/main.py,/home/slyslickmojo/Slick_AI/Slick_AI/main.py
dev_dashboard.py,.py,0.12,1750370507.8918924,Slick_AI/dev_dashboard.py,/home/slyslickmojo/Slick_AI/Slick_AI/dev_dashboard.py
requirements.txt,.txt,0.04,1750370501.571894,Slick_AI/requirements.txt,/home/slyslickmojo/Slick_AI/Slick_AI/requirements.txt
component_registry.csv,.csv,0.32,1750370510.921892,Slick_AI/system/component_registry.csv,/home/slyslickmojo/Slick_AI/Slick_AI/system/component_registry.csv
command_reference.csv,.csv,0.55,1750370511.1118917,Slick_AI/system/command_reference.csv,/home/slyslickmojo/Slick_AI/Slick_AI/system/command_reference.csv
help_guide.py,.py,1.81,1750371512.4917889,Slick_AI/system/cli_extensions/help_guide.py,/home/slyslickmojo/Slick_AI/Slick_AI/system/cli_extensions/help_guide.py
rescan_and_verify.py,.py,0.71,1750370506.9418926,Slick_AI/system/cli_extensions/update/rescan_and_verify.py,/home/slyslickmojo/Slick_AI/Slick_AI/system/cli_extensions/update/rescan_and_verify.py
update_system.py,.py,0.5,1750370506.5818927,Slick_AI/system/cli_extensions/update/update_system.py,/home/slyslickmojo/Slick_AI/Slick_AI/system/cli_extensions/update/update_system.py
COMMAND_REFERENCE.md,.md,0.61,1750370509.601892,Slick_AI/docs/COMMAND_REFERENCE.md,/home/slyslickmojo/Slick_AI/Slick_AI/docs/COMMAND_REFERENCE.md
Slick_AI_Command_Interface.py,.py,0.22,1750370505.311893,Slick_AI/core/Slick_AI_Command_Interface.py,/home/slyslickmojo/Slick_AI/Slick_AI/core/Slick_AI_Command_Interface.py
network_test.py,.py,0.78,1750299601.8488567,scripts/network_test.py,/home/slyslickmojo/Slick_AI/scripts/network_test.py
network_recovery.sh,.sh,0.67,1750299821.9797485,scripts/network_recovery.sh,/home/slyslickmojo/Slick_AI/scripts/network_recovery.sh
migrate_versions.py,.py,0.6,1750314646.6030595,scripts/migrate_versions.py,/home/slyslickmojo/Slick_AI/scripts/migrate_versions.py
manual_sync.py,.py,0.72,1750300020.5905485,scripts/manual_sync.py,/home/slyslickmojo/Slick_AI/scripts/manual_sync.py
test_key.sh,.sh,0.57,1750301116.4449296,scripts/test_key.sh,/home/slyslickmojo/Slick_AI/scripts/test_key.sh
command_registry.csv,.csv,0.1,1750383351.8579981,system/command_registry.csv,/home/slyslickmojo/Slick_AI/system/command_registry.csv
cli_usage_plan.csv,.csv,1.79,1750327087.472558,system/cli_extensions/cli_usage_plan.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/cli_usage_plan.csv
Slick_AI_Workflow.csv,.csv,4.66,1750356052.202257,system/cli_extensions/Slick_AI_Workflow.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/Slick_AI_Workflow.csv
control_workflow.sh,.sh,1.12,1750349513.7513578,system/cli_extensions/control_workflow.sh,/home/slyslickmojo/Slick_AI/system/cli_extensions/control_workflow.sh
cli_usage_runner.sh,.sh,0.83,1750327044.8724647,system/cli_extensions/cli_usage_runner.sh,/home/slyslickmojo/Slick_AI/system/cli_extensions/cli_usage_runner.sh
help_guide.py,.py,1.83,1750372237.8117104,system/cli_extensions/help_guide.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/help_guide.py
app.py,.py,0.63,1750352343.1373615,system/cli_extensions/update/app.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/app.py
extract_slick_ai_components.py,.py,1.99,1750352345.5773823,system/cli_extensions/update/extract_slick_ai_components.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/extract_slick_ai_components.py
proxy_router.py,.py,0.45,1750352349.2474272,system/cli_extensions/update/proxy_router.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/proxy_router.py
rescan_and_verify.py,.py,1.19,1750352359.4674926,system/cli_extensions/update/rescan_and_verify.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/rescan_and_verify.py
scripts_report.csv,.csv,1.21,1750352339.8073487,system/cli_extensions/update/scripts_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/scripts_report.csv
fixed_report_20250614_051211.csv,.csv,9.41,1750352351.0874312,system/cli_extensions/update/fixed_report_20250614_051211.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/fixed_report_20250614_051211.csv
cognitive.engine.py,.py,0.57,1750352343.697361,system/cli_extensions/update/cognitive.engine.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/cognitive.engine.py
directory_scanner.py,.py,2.54,1750352342.0273626,system/cli_extensions/update/directory_scanner.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/directory_scanner.py
command_utils.py,.py,0.47,1750352346.867399,system/cli_extensions/update/command_utils.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/command_utils.py
mic_input_report.csv,.csv,0.19,1750352339.7073474,system/cli_extensions/update/mic_input_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/mic_input_report.csv
interest_enhancer.py,.py,0.49,1750352343.2673614,system/cli_extensions/update/interest_enhancer.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/interest_enhancer.py
project_report_20250612_150249.csv,.csv,0.53,1750352351.5474322,system/cli_extensions/update/project_report_20250612_150249.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250612_150249.csv
memory.py,.py,1.62,1750352347.097402,system/cli_extensions/update/memory.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/memory.py
slick_memory.py,.py,3.2,1750352347.2674043,system/cli_extensions/update/slick_memory.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/slick_memory.py
sync_system.py,.py,1.39,1750352345.9073865,system/cli_extensions/update/sync_system.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/sync_system.py
project_versions.csv,.csv,0.06,1750352354.0274534,system/cli_extensions/update/project_versions.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_versions.csv
engine_report.csv,.csv,0.41,1750352339.2873418,system/cli_extensions/update/engine_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/engine_report.csv
data_report.csv,.csv,0.95,1750352339.0473387,system/cli_extensions/update/data_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/data_report.csv
memory_nodes.csv,.csv,0.2,1750352337.7373219,system/cli_extensions/update/memory_nodes.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/memory_nodes.csv
Adv_dashboard.csv,.csv,1.49,1750352338.5573325,system/cli_extensions/update/Adv_dashboard.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/Adv_dashboard.csv
think_sessions_processor.py,.py,2.01,1750352344.717371,system/cli_extensions/update/think_sessions_processor.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/think_sessions_processor.py
service_manager.py,.py,0.89,1750352346.5373948,system/cli_extensions/update/service_manager.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/service_manager.py
project_report_20250612_153717.csv,.csv,0.62,1750352351.6274323,system/cli_extensions/update/project_report_20250612_153717.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250612_153717.csv
secure_synce.py,.py,0.92,1750352349.0574267,system/cli_extensions/update/secure_synce.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/secure_synce.py
slick_upgrade.csv,.csv,23.93,1750352338.4973316,system/cli_extensions/update/slick_upgrade.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/slick_upgrade.csv
memory_report.csv,.csv,0.78,1750352339.6573467,system/cli_extensions/update/memory_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/memory_report.csv
test_routes.py,.py,0.0,1750352348.2174165,system/cli_extensions/update/test_routes.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/test_routes.py
test_cli.py,.py,0.26,1750352348.0774148,system/cli_extensions/update/test_cli.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/test_cli.py
memory_reset.py,.py,0.56,1750352348.8074243,system/cli_extensions/update/memory_reset.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/memory_reset.py
project_status.csv,.csv,6.85,1750352353.7374496,system/cli_extensions/update/project_status.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_status.csv
telegram_bot.py,.py,0.61,1750352344.2173645,system/cli_extensions/update/telegram_bot.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/telegram_bot.py
2_unified_test_suite.py,.py,0.98,1750352357.2874923,system/cli_extensions/update/2_unified_test_suite.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/2_unified_test_suite.py
assessment_script.py,.py,0.59,1750352358.7274926,system/cli_extensions/update/assessment_script.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/assessment_script.py
remove_duplicates.py,.py,7.09,1750352359.3474927,system/cli_extensions/update/remove_duplicates.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/remove_duplicates.py
file.py,.py,2.91,1750352347.017401,system/cli_extensions/update/file.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/file.py
shared_report.csv,.csv,0.4,1750352339.987351,system/cli_extensions/update/shared_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/shared_report.csv
slick_cli.py,.py,0.4,1750352343.1773615,system/cli_extensions/update/slick_cli.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/slick_cli.py
module.py,.py,5.92,1750352344.777372,system/cli_extensions/update/module.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/module.py
tests_report.csv,.csv,1.66,1750352340.527358,system/cli_extensions/update/tests_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/tests_report.csv
main.py,.py,5.88,1750352342.8973618,system/cli_extensions/update/main.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/main.py
version_tracker.py,.py,1.36,1750352360.1274927,system/cli_extensions/update/version_tracker.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/version_tracker.py
2.2.x-2.3.x.py,.py,0.73,1750352348.5174205,system/cli_extensions/update/2.2.x-2.3.x.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/2.2.x-2.3.x.py
vscode_launcher.py,.py,0.37,1750352344.0373623,system/cli_extensions/update/vscode_launcher.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/vscode_launcher.py
modules_report.csv,.csv,0.5,1750352339.757348,system/cli_extensions/update/modules_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/modules_report.csv
knowledge_graph.py,.py,0.89,1750352343.8173609,system/cli_extensions/update/knowledge_graph.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/knowledge_graph.py
core_report.csv,.csv,2.19,1750352338.9773378,system/cli_extensions/update/core_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/core_report.csv
command_registry.csv,.csv,0.24,1750352337.3873172,system/cli_extensions/update/command_registry.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/command_registry.csv
project_report_20250613_010636.csv,.csv,15.44,1750352351.917433,system/cli_extensions/update/project_report_20250613_010636.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250613_010636.csv
learning.py,.py,2.51,1750352344.5973694,system/cli_extensions/update/learning.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/learning.py
1_enhanced_core_files.py,.py,0.87,1750352356.8274899,system/cli_extensions/update/1_enhanced_core_files.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/1_enhanced_core_files.py
backend_report.csv,.csv,0.77,1750352338.7873354,system/cli_extensions/update/backend_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/backend_report.csv
project_analyzer.py,.py,6.69,1750352347.1474028,system/cli_extensions/update/project_analyzer.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_analyzer.py
build_project.py,.py,8.57,1750352345.3973799,system/cli_extensions/update/build_project.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/build_project.py
enhanced_duplicate_cleaner.py,.py,4.79,1750352358.8674924,system/cli_extensions/update/enhanced_duplicate_cleaner.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/enhanced_duplicate_cleaner.py
tag_files.py,.py,0.92,1750352359.8574927,system/cli_extensions/update/tag_files.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/tag_files.py
system_report.csv,.csv,0.74,1750352340.2673547,system/cli_extensions/update/system_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/system_report.csv
learning_report.csv,.csv,0.19,1750352339.5073447,system/cli_extensions/update/learning_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/learning_report.csv
slick_env_config.csv,.csv,0.44,1750352337.4773185,system/cli_extensions/update/slick_env_config.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/slick_env_config.csv
core.py,.py,1.05,1750352342.547362,system/cli_extensions/update/core.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/core.py
knowledge_base.py,.py,1.69,1750352359.0574925,system/cli_extensions/update/knowledge_base.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/knowledge_base.py
confest.py,.py,0.74,1750352347.6874096,system/cli_extensions/update/confest.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/confest.py
test_commands.py,.py,0.47,1750352348.1474156,system/cli_extensions/update/test_commands.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/test_commands.py
web_interface_report.csv,.csv,1.05,1750352340.7073605,system/cli_extensions/update/web_interface_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/web_interface_report.csv
project_report_20250613_190816.csv,.csv,74.8,1750352352.6774359,system/cli_extensions/update/project_report_20250613_190816.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250613_190816.csv
programming_analyzer.py,.py,2.74,1750352359.2374926,system/cli_extensions/update/programming_analyzer.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/programming_analyzer.py
logic_report.csv,.csv,0.16,1750352339.5573454,system/cli_extensions/update/logic_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/logic_report.csv
post_reset_validation.py,.py,0.42,1750352347.7974112,system/cli_extensions/update/post_reset_validation.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/post_reset_validation.py
sync_server.py,.py,0.36,1750352349.1174269,system/cli_extensions/update/sync_server.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/sync_server.py
test_tools.py,.py,0.0,1750352348.407419,system/cli_extensions/update/test_tools.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/test_tools.py
emotion_processor.py,.py,0.11,1750352345.0673757,system/cli_extensions/update/emotion_processor.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/emotion_processor.py
app_report.csv,.csv,1.44,1750352338.747335,system/cli_extensions/update/app_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/app_report.csv
data_exporter.py,.py,0.39,1750352348.6074216,system/cli_extensions/update/data_exporter.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/data_exporter.py
learning_adapter.py,.py,0.74,1750352343.3673613,system/cli_extensions/update/learning_adapter.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/learning_adapter.py
4Communication_bridges.py,.py,0.78,1750352357.7474923,system/cli_extensions/update/4Communication_bridges.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/4Communication_bridges.py
security_middleware.py,.py,0.21,1750352349.3474274,system/cli_extensions/update/security_middleware.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/security_middleware.py
web_server.py,.py,0.91,1750352349.4974277,system/cli_extensions/update/web_server.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/web_server.py
security.py,.py,0.59,1750352348.9674263,system/cli_extensions/update/security.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/security.py
input_processor.py,.py,2.45,1750352358.9974926,system/cli_extensions/update/input_processor.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/input_processor.py
1_core_application&routing.py,.py,0.64,1750352356.7374885,system/cli_extensions/update/1_core_application&routing.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/1_core_application&routing.py
sync_manager.py,.py,4.09,1750352347.5774083,system/cli_extensions/update/sync_manager.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/sync_manager.py
interfaces_report.csv,.csv,1.21,1750352339.3873432,system/cli_extensions/update/interfaces_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/interfaces_report.csv
slick_core.py,.py,1.67,1750352342.697362,system/cli_extensions/update/slick_core.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/slick_core.py
blueprint.py,.py,4.0,1750352341.9573627,system/cli_extensions/update/blueprint.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/blueprint.py
run_tests.py,.py,3.12,1750352359.6074927,system/cli_extensions/update/run_tests.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/run_tests.py
file_manager.py,.py,1.04,1750352346.4773939,system/cli_extensions/update/file_manager.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/file_manager.py
3_endpoints.py,.py,0.74,1750352357.5574923,system/cli_extensions/update/3_endpoints.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/3_endpoints.py
setup_modules.py,.py,2.71,1750352359.7174926,system/cli_extensions/update/setup_modules.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/setup_modules.py
mediation_engine.py,.py,0.5,1750352359.1174927,system/cli_extensions/update/mediation_engine.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/mediation_engine.py
test_memory.py,.py,0.0,1750352348.177416,system/cli_extensions/update/test_memory.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/test_memory.py
ai_core_report.csv,.csv,0.81,1750352338.687334,system/cli_extensions/update/ai_core_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/ai_core_report.csv
3_AI.py,.py,1.68,1750352357.4474924,system/cli_extensions/update/3_AI.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/3_AI.py
rebuild.py,.py,1.8,1750352345.727384,system/cli_extensions/update/rebuild.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/rebuild.py
Backup.py,.py,10.67,1750352345.2473779,system/cli_extensions/update/Backup.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/Backup.py
prepare_slick_ai_system.py,.py,4.54,1750352345.6673834,system/cli_extensions/update/prepare_slick_ai_system.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/prepare_slick_ai_system.py
scanner.py,.py,6.86,1750352342.1473625,system/cli_extensions/update/scanner.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/scanner.py
config.py,.py,0.5,1750352358.7874925,system/cli_extensions/update/config.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/config.py
project_report_20250613_211735.csv,.csv,4.91,1750352352.8174376,system/cli_extensions/update/project_report_20250613_211735.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250613_211735.csv
memory_core.py,.py,0.75,1750352343.8673608,system/cli_extensions/update/memory_core.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/memory_core.py
project_report_20250613_1435.csv,.csv,2.96,1750352352.2374337,system/cli_extensions/update/project_report_20250613_1435.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250613_1435.csv
setup_web_interface.py,.py,4.34,1750352359.7974927,system/cli_extensions/update/setup_web_interface.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/setup_web_interface.py
command_decorators.py,.py,0.67,1750352346.6573963,system/cli_extensions/update/command_decorators.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/command_decorators.py
knowledge_report.csv,.csv,0.83,1750352339.4673443,system/cli_extensions/update/knowledge_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/knowledge_report.csv
templates_report.csv,.csv,0.78,1750352340.3473558,system/cli_extensions/update/templates_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/templates_report.csv
profile_loader.py,.py,1.43,1750352343.5373611,system/cli_extensions/update/profile_loader.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/profile_loader.py
api.py,.py,1.61,1750352344.3673666,system/cli_extensions/update/api.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/api.py
chatgpt.csv,.csv,2.08,1750352337.6573207,system/cli_extensions/update/chatgpt.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/chatgpt.csv
project_report_20250613_100247.csv,.csv,15.65,1750352352.0174332,system/cli_extensions/update/project_report_20250613_100247.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/project_report_20250613_100247.csv
config_report.csv,.csv,0.66,1750352338.9173372,system/cli_extensions/update/config_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/config_report.csv
controller.py,.py,3.76,1750352343.757361,system/cli_extensions/update/controller.py,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/controller.py
vscode_integration_report.csv,.csv,0.34,1750352340.6373594,system/cli_extensions/update/vscode_integration_report.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/vscode_integration_report.csv
profile_details.csv,.csv,0.35,1750352337.7973225,system/cli_extensions/update/profile_details.csv,/home/slyslickmojo/Slick_AI/system/cli_extensions/update/profile_details.csv
