type,category,module_name,path,relative_path,size,created,modified,extension,purpose,version
utils,utils,Utilities,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/verify.py,verify.py,475,2025-06-13T15:35:45.780248,2025-06-12T22:05:17.184623,.py,Validation tools,2
utils,utils,Scripts,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/scripts,scripts/,,2025-06-13T15:35:18.815085,2025-06-13T01:21:04.723563,,Automation scripts,2

modules,modules,Extensions,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/modules,modules/,,2025-06-13T15:35:18.730113,2025-06-12T21:54:47.725353,,Plugins,2
modules,modules,Integrations,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deepseek_integration.py,deepseek_integration.py,1666,2025-06-13T15:35:18.478270,2025-06-12T00:48:21.596773,.py,DeepSeek API,2
modules,modules,Integrations,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/telegram_bot,telegram_bot/,,2025-06-13T22:49:03.513281,2025-06-13T22:49:03.513281,,Telegram integration,2
modules,modules,Integrations,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/vscode_integration,vscode_integration/,,2025-06-13T22:49:42.335385,2025-06-13T22:49:42.335385,,VSCode tools,2

system,system,Core System,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/core,core/,,2025-06-13T23:12:17.772566,2025-06-13T23:12:17.772566,,Low-level systems,2
system,system,Engine,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/engine,engine/,,2025-06-13T15:35:18.511433,2025-06-12T02:12:27.687472,,Execution engine,2
system,system,Deployment,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deployment,deployment/,,2025-06-13T16:35:36.785983,2025-06-13T16:35:36.785983,,Deployment configs,2
