Path,Type,Status,Component,Optimization
backend/requirements.txt,Documentation,Primary,Web Server,Well-Structured
backend/commands,Directory,Primary Module,-,Well-Structured
backend/commands/help_me.py,Python Script,Primary,Data Processing,Well-Structured
backend/commands/toggle_commands.py,Python Script,Primary,Web Server,Well-Structured
backend/commands/__init__.py,Python Script,Primary,General Functionality,Well-Structured
cli,Directory,Primary Module,-,Well-Structured
cli/deploy_tools.py,Cli Module,Primary,General Functionality,Well-Structured
cli/glossary_sync.py,Cli Module,Primary,General Functionality,Well-Structured
cli/help.py,Cli Module,Primary,Config,Well-Structured
cli/learn_mode.py,Cli Module,Primary,General Functionality,Well-Structured
cli/order_manager.py,Cli Module,Primary,General Functionality,Well-Structured
cli/plain_knowledge.py,Cli Module,Primary,General Functionality,Well-Structured
cli/report_project.py,Cli Module,Primary,Config,Well-Structured
cli/see_monitor.py,Cli Module,Primary,General Functionality,Well-Structured
cli/slick_cli.py,Cli Module,Primary,Config,Well-Structured
cli/status.py,Cli Module,Primary,General Functionality,Well-Structured
cli/step_trainer.py,Cli Module,Primary,Web Server,Well-Structured
cli/tools.py,Cli Module,Primary,General Functionality,Well-Structured
cli/__init__,Other,Primary,General Functionality,Well-Structured
cli/C:,Directory,Primary Module,-,Well-Structured
cli/C:/Users,Directory,Primary Module,-,Well-Structured
cli/C:/Users/slick,Directory,Primary Module,-,Well-Structured
cli/C:/Users/slick/OneDrive,Directory,Primary Module,-,Well-Structured
cli/C:/Users/slick/OneDrive/Desktop,Directory,Primary Module,-,Well-Structured
cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system,Directory,Primary Module,-,Well-Structured
cognitive,Directory,Primary Module,-,Well-Structured
cognitive/interest_enhancer.py,Cognitive Module,Primary,Config,Well-Structured
cognitive/learning_adapter.py,Cognitive Module,Primary,Config,Well-Structured
cognitive/__init__.py,Cognitive Module,Primary,General Functionality,Well-Structured
config,Directory,Primary Module,-,Well-Structured
config/command_registry.csv,Data File,Primary,Web Server,Well-Structured
config/preferences_loader.py,Config Module,Primary,General Functionality,Well-Structured
config/profile_loader.py,Config Module,Primary,Config,Well-Structured
config/settings.py,Config Module,Primary,Config,Well-Structured
config/slick_env_config.csv,Data File,Primary,Web Server,Well-Structured
config/__init__.py,Config Module,Primary,Config,Well-Structured
core,Directory,Primary Module,-,Well-Structured
core/ai_system.py,Core Module,Primary,Config,Well-Structured
core/command_system.py,Core Module,Primary,General Functionality,Well-Structured
core/system_initializer.py,Core Module,Primary,Config,Well-Structured
core/__init__.py,Core Module,Primary,General Functionality,Well-Structured
core/ai_models,Directory,Primary Module,-,Well-Structured
core/ai_models/ai_api.py,AI Core Module,Primary,Web Server,Well-Structured
core/ai_models/AI_BEHAVIOR.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_BEHAVIOR_EXT.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_DIALOGUE_EXT.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_EMOTION.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_EVENTBUS.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_INTEGRATION.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_MODEL.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/AI_TASKSCHEDULER.py,AI Core Module,Primary,General Functionality,Well-Structured
core/ai_models/openai_bridge.py,Python Script,Primary,General Functionality,Well-Structured
core/ai_models/Slick_AI_Command_Ineterface.py,AI Core Module,Primary,General Functionality,Well-Structured
core/cognitive_engine,Directory,Primary Module,-,Well-Structured
core/cognitive_engine/core.py,Python Script,Primary,Data Processing,Well-Structured
core/cognitive_engine/cosmic_resolution.py,Python Script,Primary,General Functionality,Well-Structured
core/cognitive_engine/fix_imports.py,Python Script,Primary,Config,Well-Structured
core/cognitive_engine/galactic_integration.py,Python Script,Primary,General Functionality,Well-Structured
core/cognitive_engine/logic_unit.py,Python Script,Primary,Data Processing,Well-Structured
core/cognitive_engine/__init__.py,Python Script,Primary,General Functionality,Well-Structured
data,Directory,Primary Module,-,Well-Structured
data/ai_preferences_details.csv,Data File,Primary,General Functionality,Well-Structured
data/chatgpt.csv,Data File,Primary,Web Server,Well-Structured
data/memory_log.json,Data File,Primary,General Functionality,Well-Structured
data/memory_nodes.csv,Data File,Primary,General Functionality,Well-Structured
data/profile_details.csv,Data File,Primary,Config,Well-Structured
data/slick_chatgpt.csv,Data File,Primary,Config,Well-Structured
data/slick_upgrade.csv,Data File,Primary,Config,Well-Structured
data/snapshot_config.json,Data File,Primary,Config,Well-Structured
docs,Directory,Primary Module,-,Well-Structured
docs/README_SLICK_AI.md,Documentation,Primary,General Functionality,Well-Structured
engine,Directory,Primary Module,-,Well-Structured
engine/logic_core.py,Engine Module,Primary,Config,Well-Structured
engine/preference_applier.py,Engine Module,Primary,Config,Well-Structured
engine/__init__.py,Engine Module,Primary,General Functionality,Well-Structured
interface,Directory,Primary Module,-,Well-Structured
interface/voice_integration.py,Interface Module,Primary,Config,Well-Structured
interface/__init__.py,Interface Module,Primary,General Functionality,Well-Structured
interface/api,Directory,Primary Module,-,Well-Structured
interface/api/routes.py,Python Script,Primary,General Functionality,Well-Structured
memory,Directory,Primary Module,-,Well-Structured
memory/memory_core.py,Memory Module,Primary,Config,Well-Structured
memory/memory_integration.py,Memory Module,Primary,Config,Well-Structured
memory/memory_node.py,Memory Module,Primary,General Functionality,Well-Structured
memory/__init__.py,Memory Module,Primary,General Functionality,Well-Structured
mic_input,Directory,Other Directory,-,Review Structure
mic_input/wo_mic_listener.py,Python Script,Other,General Functionality,No Change Needed
modules,Directory,Primary Module,-,Well-Structured
modules/emotion_processor.py,Modules Module,Primary,General Functionality,Well-Structured
modules/knowledge_graph.py,Modules Module,Primary,General Functionality,Well-Structured
modules/sentiment_analysis.py,Modules Module,Primary,General Functionality,Well-Structured
modules/voice_interface.py,Modules Module,Primary,General Functionality,Well-Structured
scripts,Directory,Primary Module,-,Well-Structured
scripts/Backup.py,Scripts Module,Primary,General Functionality,Well-Structured
scripts/build_project.py,Scripts Module,Primary,General Functionality,Well-Structured
scripts/convert_manifest.py,Scripts Module,Primary,General Functionality,Well-Structured
scripts/extract_slick_ai_components.py,Scripts Module,Primary,Config,Well-Structured
scripts/prepare_slick_ai_system.py,Scripts Module,Primary,Web Server,Well-Structured
scripts/rebuild.py,Scripts Module,Primary,General Functionality,Well-Structured
scripts/reorganize_project.py,Scripts Module,Primary,Config,Well-Structured
scripts/restore_files.py,Scripts Module,Primary,General Functionality,Well-Structured
scripts/sync_system.py,Scripts Module,Primary,General Functionality,Well-Structured
slick,Directory,Other Directory,-,Review Structure
slick/core,Directory,Primary Module,-,Well-Structured
slick/core/action_base.py,Core Module,Primary,General Functionality,Well-Structured
slick/core/action_registry.py,Core Module,Primary,General Functionality,Well-Structured
slick/core/AI_Module.py,Core Module,Primary,General Functionality,Well-Structured
slick/core/context_ai.py,Core Module,Primary,General Functionality,Well-Structured
slick/core/action_plugins,Directory,Primary Module,-,Well-Structured
slick/core/action_plugins/action_game.py,Python Script,Primary,General Functionality,Well-Structured
slick/core/action_plugins/action_light.py,Python Script,Primary,General Functionality,Well-Structured
slick/core/action_plugins/action_schedule.py,Python Script,Primary,General Functionality,Well-Structured
slick/core/action_plugins/__init__,Other,Primary,General Functionality,Well-Structured
slick/engine,Directory,Primary Module,-,Well-Structured
slick/engine/logic_core.py,Engine Module,Primary,General Functionality,Well-Structured
slick/SLICK_AI,Directory,Other Directory,-,Review Structure
slick/SLICK_AI/game_ai,Directory,Other Directory,-,Review Structure
slick/SLICK_AI/game_ai/AI_MEMORY.PY,AI Core Module,Other,General Functionality,Consider moving to memory/
slick/SLICK_AI/templates,Directory,Primary Module,-,Well-Structured
slick/SLICK_AI/templates/ai_intergration,Other,Primary,General Functionality,Well-Structured
slick/SLICK_AI/templates/dashboard.html,Web Asset,Primary,General Functionality,Well-Structured
slick/system,Directory,Primary Module,-,Well-Structured
slick/system/boot_loader.py,System Module,Primary,General Functionality,Well-Structured
slick/system/core.py,System Module,Primary,General Functionality,Well-Structured
src,Directory,Other Directory,-,Review Structure
src/App.js,Web Asset,Other,CLI,No Change Needed
src/index.js,Web Asset,Other,General Functionality,No Change Needed
src/cli,Directory,Primary Module,-,Well-Structured
src/cli/M.py,Cli Module,Primary,CLI,Well-Structured
src/cli/S.py,Cli Module,Primary,CLI,Well-Structured
src/cli/U.py,Cli Module,Primary,CLI,Well-Structured
src/cli/__main__.py,Cli Module,Primary,General Functionality,Well-Structured
src/modules,Directory,Primary Module,-,Well-Structured
src/modules/AutoMemory_Routes.py,Modules Module,Primary,Web Server,Well-Structured
src/modules/Auto_Master_Loader.py,Modules Module,Primary,General Functionality,Well-Structured
src/modules/Master_Loader.py,Modules Module,Primary,General Functionality,Well-Structured
src/web,Directory,Other Directory,-,Review Structure
system,Directory,Primary Module,-,Well-Structured
system/boot_loader.py,System Module,Primary,General Functionality,Well-Structured
system/maintenance_scheduler.py,System Module,Primary,General Functionality,Well-Structured
system/__init__.py,System Module,Primary,General Functionality,Well-Structured
system/logs,Directory,Primary Module,-,Well-Structured
system/logs/backup.log,Other,Primary,Config,Well-Structured
templates,Directory,Primary Module,-,Well-Structured
templates/SLICK.html,Web Asset,Primary,CLI,Well-Structured
tests,Directory,Primary Module,-,Well-Structured
tests/test_memory.py,Tests Module,Primary,General Functionality,Well-Structured
tests/test_routes.py,Tests Module,Primary,General Functionality,Well-Structured
tests/test_tools.py,Tests Module,Primary,General Functionality,Well-Structured
web_interface,Directory,Primary Module,-,Well-Structured
web_interface/app.py,Web_interface Module,Primary,Web Server,Well-Structured
web_interface/dashboard_console.py,Web_interface Module,Primary,Web Server,Well-Structured
web_interface/voice_interface.py,Web_interface Module,Primary,General Functionality,Well-Structured
web_interface/__init__.py,Web_interface Module,Primary,General Functionality,Well-Structured
web_interface/frontend,Directory,Primary Module,-,Well-Structured
web_interface/frontend/Cosmic_back.html,Web Asset,Primary,General Functionality,Well-Structured
web_interface/frontend/cosmic_front.html,Web Asset,Primary,CLI,Well-Structured
web_interface/frontend/index.html,Web Asset,Primary,General Functionality,Well-Structured
web_interface/frontend/script.js,Web Asset,Primary,CLI,Well-Structured
web_interface/frontend/SLICK.html,Web Asset,Primary,CLI,Well-Structured
web_interface/frontend/style.css,Web Asset,Primary,General Functionality,Well-Structured
web_interface/static,Directory,Primary Module,-,Well-Structured
web_interface/static/script.js,Web Asset,Primary,CLI,Well-Structured
web_interface/static/style.css,Web Asset,Primary,General Functionality,Well-Structured
web_interface/static/js,Directory,Primary Module,-,Well-Structured
web_interface/static/js/programmer.js,Web Asset,Primary,CLI,Well-Structured
web_interface/templates,Directory,Primary Module,-,Well-Structured
web_interface/templates/control_dashboard.html,Web Asset,Primary,CLI,Well-Structured
web_interface/templates/index.html,Web Asset,Primary,General Functionality,Well-Structured
web_interface/templates/programmer_interface.html,Web Asset,Primary,General Functionality,Well-Structured
