Type,Path,Relative Path,Size,Created,Modified
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup_modules.py,setup_modules.py,2676,2025-06-13T15:35:18.868860,2025-06-11T23:54:14.707265
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup_web_interface.py,setup_web_interface.py,4550,2025-06-13T15:35:18.874116,2025-06-12T00:25:45.607355
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/shared,shared,,2025-06-13T16:48:01.680041,2025-06-13T16:48:01.680041
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/slick,slick,,2025-06-13T16:57:20.443718,2025-06-13T16:57:20.443718
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/SLICK.py,SLICK.py,2669,2025-06-13T21:39:18.395559,2025-06-13T21:39:18.395559
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/slick_ai_system,slick_ai_system,,2025-06-13T15:44:33.108081,2025-06-13T15:44:33.108081
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/Slick_chat.py,Slick_chat.py,15037,2025-06-13T15:35:39.388802,2025-06-12T21:53:18.297480
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/Slick_dashboard.html,Slick_dashboard.html,31090,2025-06-13T15:35:39.392802,2025-06-11T14:07:17
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/src,src,,2025-06-13T15:35:39.402804,2025-06-13T12:15:06.136964
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/streamline_ai.py,streamline_ai.py,8055,2025-06-13T15:35:39.480803,2025-06-13T00:29:59.568670
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/system,system,,2025-06-13T15:35:39.484801,2025-06-13T12:09:44.408740
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/telegram_bot,telegram_bot,,2025-06-13T19:21:56.894297,2025-06-13T19:21:56.894297
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/templates,templates,,2025-06-13T15:35:39.563801,2025-06-12T11:35:18.026272
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/tests,tests,,2025-06-13T16:36:49.746862,2025-06-13T16:36:49.746862
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/test_advanced_cognition.py,test_advanced_cognition.py,890,2025-06-13T15:35:39.783430,2025-06-13T00:50:29.301875
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/think_sessions,think_sessions,,2025-06-13T17:26:41.442259,2025-06-13T17:26:41.442259
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/tipts.txt,tipts.txt,236,2025-06-13T15:35:39.794257,2025-06-12T15:11:04.910256
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/utils,utils,,2025-06-13T17:07:27.448077,2025-06-13T17:07:27.448077
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/verify.py,verify.py,475,2025-06-13T15:35:45.780248,2025-06-12T22:05:17.184623
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/voice_server.py,voice_server.py,1089,2025-06-13T15:35:45.784250,2025-06-12T21:54:26.053954
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/vscode_integration,vscode_integration,,2025-06-13T19:23:53.872455,2025-06-13T19:23:53.872455
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/web_interface,web_interface,,2025-06-13T15:35:45.787622,2025-06-13T13:42:50.011409
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/__init__.py,__init__.py,0,2025-06-13T15:35:46.152128,2025-06-12T21:54:26.227088
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/.gitignore,.venv/.gitignore,34,2025-06-13T15:35:13.217525,2025-06-11T18:09:37.574651
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib,.venv/Lib,,2025-06-13T15:35:13.220528,2025-06-11T18:09:37.681361
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/pyvenv.cfg,.venv/pyvenv.cfg,34,2025-06-13T15:35:17.704170,2025-06-11T18:10:45.335046
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Scripts,.venv/Scripts,,2025-06-13T15:35:17.707062,2025-06-11T18:10:45.459875
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages,.venv/Lib/site-packages,,2025-06-13T15:35:13.231215,2025-06-11T18:09:38.327664
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip,.venv/Lib/site-packages/pip,,2025-06-13T15:35:13.238212,2025-06-12T21:51:58.237274
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip-25.0.1.dist-info,.venv/Lib/site-packages/pip-25.0.1.dist-info,,2025-06-13T15:35:17.667448,2025-06-11T18:09:38.297413
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/py.typed,.venv/Lib/site-packages/pip/py.typed,32,2025-06-13T15:35:13.250827,2025-06-11T18:09:38.610641
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal,.venv/Lib/site-packages/pip/_internal,,2025-06-13T15:35:13.255824,2025-06-12T21:51:36.151627
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor,.venv/Lib/site-packages/pip/_vendor,,2025-06-13T15:35:15.577806,2025-06-12T21:51:58.103149
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/__init__.py,.venv/Lib/site-packages/pip/__init__.py,202,2025-06-13T15:35:17.624205,2025-06-12T21:51:58.134780
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/__main__.py,.venv/Lib/site-packages/pip/__main__.py,202,2025-06-13T15:35:17.628205,2025-06-12T21:51:58.174192
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/__pip-runner__.py,.venv/Lib/site-packages/pip/__pip-runner__.py,220,2025-06-13T15:35:17.634396,2025-06-12T21:51:58.221020
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/build_env.py,.venv/Lib/site-packages/pip/_internal/build_env.py,208,2025-06-13T15:35:13.271670,2025-06-12T21:51:19.152372
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cache.py,.venv/Lib/site-packages/pip/_internal/cache.py,197,2025-06-13T15:35:13.282526,2025-06-12T21:51:19.215817
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli,.venv/Lib/site-packages/pip/_internal/cli,,2025-06-13T15:35:13.286525,2025-06-12T21:51:19.988928
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands,.venv/Lib/site-packages/pip/_internal/commands,,2025-06-13T15:35:13.493436,2025-06-12T21:51:21.161934
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/configuration.py,.venv/Lib/site-packages/pip/_internal/configuration.py,221,2025-06-13T15:35:13.721798,2025-06-12T21:51:21.195025
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/distributions,.venv/Lib/site-packages/pip/_internal/distributions,,2025-06-13T15:35:13.732860,2025-06-12T21:51:21.437418
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/exceptions.py,.venv/Lib/site-packages/pip/_internal/exceptions.py,212,2025-06-13T15:35:13.801457,2025-06-12T21:51:21.460421
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/index,.venv/Lib/site-packages/pip/_internal/index,,2025-06-13T15:35:13.805720,2025-06-12T21:51:21.760527
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/locations,.venv/Lib/site-packages/pip/_internal/locations,,2025-06-13T15:35:13.853953,2025-06-12T21:51:22.320199
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/main.py,.venv/Lib/site-packages/pip/_internal/main.py,194,2025-06-13T15:35:13.902313,2025-06-12T21:51:22.383070
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata,.venv/Lib/site-packages/pip/_internal/metadata,,2025-06-13T15:35:13.906315,2025-06-12T21:51:23.570791
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models,.venv/Lib/site-packages/pip/_internal/models,,2025-06-13T15:35:14.157398,2025-06-12T21:51:26.940727
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network,.venv/Lib/site-packages/pip/_internal/network,,2025-06-13T15:35:14.500819,2025-06-12T21:51:28.654423
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations,.venv/Lib/site-packages/pip/_internal/operations,,2025-06-13T15:35:14.620731,2025-06-12T21:51:30.952245
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/pyproject.py,.venv/Lib/site-packages/pip/_internal/pyproject.py,209,2025-06-13T15:35:14.799628,2025-06-12T21:51:31.030118
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req,.venv/Lib/site-packages/pip/_internal/req,,2025-06-13T15:35:14.803629,2025-06-12T21:51:32.098767
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution,.venv/Lib/site-packages/pip/_internal/resolution,,2025-06-13T15:35:14.866220,2025-06-12T21:51:33.302683
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/self_outdated_check.py,.venv/Lib/site-packages/pip/_internal/self_outdated_check.py,237,2025-06-13T15:35:15.027661,2025-06-12T21:51:33.325901
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils,.venv/Lib/site-packages/pip/_internal/utils,,2025-06-13T15:35:15.040102,2025-06-12T21:51:35.568180
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs,.venv/Lib/site-packages/pip/_internal/vcs,,2025-06-13T15:35:15.401453,2025-06-12T21:51:36.049645
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/wheel_builder.py,.venv/Lib/site-packages/pip/_internal/wheel_builder.py,220,2025-06-13T15:35:15.496350,2025-06-12T21:51:36.083320
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/__init__.py,.venv/Lib/site-packages/pip/_internal/__init__.py,202,2025-06-13T15:35:15.503186,2025-06-12T21:51:36.139632
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/autocompletion.py,.venv/Lib/site-packages/pip/_internal/cli/autocompletion.py,224,2025-06-13T15:35:13.300706,2025-06-12T21:51:19.279230
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/base_command.py,.venv/Lib/site-packages/pip/_internal/cli/base_command.py,217,2025-06-13T15:35:13.305700,2025-06-12T21:51:19.362649
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/cmdoptions.py,.venv/Lib/site-packages/pip/_internal/cli/cmdoptions.py,212,2025-06-13T15:35:13.314488,2025-06-12T21:51:19.459424
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/command_context.py,.venv/Lib/site-packages/pip/_internal/cli/command_context.py,226,2025-06-13T15:35:13.321488,2025-06-12T21:51:19.525096
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/index_command.py,.venv/Lib/site-packages/pip/_internal/cli/index_command.py,220,2025-06-13T15:35:13.330590,2025-06-12T21:51:19.576136
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/main.py,.venv/Lib/site-packages/pip/_internal/cli/main.py,194,2025-06-13T15:35:13.339827,2025-06-12T21:51:19.625743
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/main_parser.py,.venv/Lib/site-packages/pip/_internal/cli/main_parser.py,214,2025-06-13T15:35:13.349214,2025-06-12T21:51:19.675755
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/parser.py,.venv/Lib/site-packages/pip/_internal/cli/parser.py,200,2025-06-13T15:35:13.355220,2025-06-12T21:51:19.730039
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/progress_bars.py,.venv/Lib/site-packages/pip/_internal/cli/progress_bars.py,220,2025-06-13T15:35:13.366293,2025-06-12T21:51:19.781208
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/req_command.py,.venv/Lib/site-packages/pip/_internal/cli/req_command.py,214,2025-06-13T15:35:13.373290,2025-06-12T21:51:19.818778
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/spinners.py,.venv/Lib/site-packages/pip/_internal/cli/spinners.py,206,2025-06-13T15:35:13.382109,2025-06-12T21:51:19.880197
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/status_codes.py,.venv/Lib/site-packages/pip/_internal/cli/status_codes.py,217,2025-06-13T15:35:13.388110,2025-06-12T21:51:19.930390
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/cli/__init__.py,.venv/Lib/site-packages/pip/_internal/cli/__init__.py,202,2025-06-13T15:35:13.396904,2025-06-12T21:51:19.976667
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/cache.py,.venv/Lib/site-packages/pip/_internal/commands/cache.py,197,2025-06-13T15:35:13.506122,2025-06-12T21:51:20.026809
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/check.py,.venv/Lib/site-packages/pip/_internal/commands/check.py,197,2025-06-13T15:35:13.513582,2025-06-12T21:51:20.066525
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/completion.py,.venv/Lib/site-packages/pip/_internal/commands/completion.py,212,2025-06-13T15:35:13.518895,2025-06-12T21:51:20.112261
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/configuration.py,.venv/Lib/site-packages/pip/_internal/commands/configuration.py,221,2025-06-13T15:35:13.522892,2025-06-12T21:51:20.162993
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/debug.py,.venv/Lib/site-packages/pip/_internal/commands/debug.py,197,2025-06-13T15:35:13.528933,2025-06-12T21:51:20.207040
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/download.py,.venv/Lib/site-packages/pip/_internal/commands/download.py,206,2025-06-13T15:35:13.534982,2025-06-12T21:51:20.276723
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/freeze.py,.venv/Lib/site-packages/pip/_internal/commands/freeze.py,200,2025-06-13T15:35:13.539980,2025-06-12T21:51:20.390327
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/hash.py,.venv/Lib/site-packages/pip/_internal/commands/hash.py,194,2025-06-13T15:35:13.548051,2025-06-12T21:51:20.503683
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/help.py,.venv/Lib/site-packages/pip/_internal/commands/help.py,194,2025-06-13T15:35:13.552056,2025-06-12T21:51:20.584012
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/index.py,.venv/Lib/site-packages/pip/_internal/commands/index.py,197,2025-06-13T15:35:13.556052,2025-06-12T21:51:20.634389
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/inspect.py,.venv/Lib/site-packages/pip/_internal/commands/inspect.py,203,2025-06-13T15:35:13.560891,2025-06-12T21:51:20.697379
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/install.py,.venv/Lib/site-packages/pip/_internal/commands/install.py,203,2025-06-13T15:35:13.567726,2025-06-12T21:51:20.765532
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/list.py,.venv/Lib/site-packages/pip/_internal/commands/list.py,194,2025-06-13T15:35:13.572726,2025-06-12T21:51:20.831634
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/search.py,.venv/Lib/site-packages/pip/_internal/commands/search.py,200,2025-06-13T15:35:13.576724,2025-06-12T21:51:20.913004
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/show.py,.venv/Lib/site-packages/pip/_internal/commands/show.py,194,2025-06-13T15:35:13.583569,2025-06-12T21:51:20.970884
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/uninstall.py,.venv/Lib/site-packages/pip/_internal/commands/uninstall.py,209,2025-06-13T15:35:13.588568,2025-06-12T21:51:21.032692
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/wheel.py,.venv/Lib/site-packages/pip/_internal/commands/wheel.py,197,2025-06-13T15:35:13.592566,2025-06-12T21:51:21.087672
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/commands/__init__.py,.venv/Lib/site-packages/pip/_internal/commands/__init__.py,202,2025-06-13T15:35:13.599168,2025-06-12T21:51:21.145339
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/distributions/base.py,.venv/Lib/site-packages/pip/_internal/distributions/base.py,194,2025-06-13T15:35:13.747058,2025-06-12T21:51:21.237358
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/distributions/installed.py,.venv/Lib/site-packages/pip/_internal/distributions/installed.py,209,2025-06-13T15:35:13.752250,2025-06-12T21:51:21.295420
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/distributions/sdist.py,.venv/Lib/site-packages/pip/_internal/distributions/sdist.py,197,2025-06-13T15:35:13.756250,2025-06-12T21:51:21.344422
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/distributions/wheel.py,.venv/Lib/site-packages/pip/_internal/distributions/wheel.py,197,2025-06-13T15:35:13.763708,2025-06-12T21:51:21.391422
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/distributions/__init__.py,.venv/Lib/site-packages/pip/_internal/distributions/__init__.py,202,2025-06-13T15:35:13.767939,2025-06-12T21:51:21.423422
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/index/collector.py,.venv/Lib/site-packages/pip/_internal/index/collector.py,209,2025-06-13T15:35:13.815052,2025-06-12T21:51:21.504422
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/index/package_finder.py,.venv/Lib/site-packages/pip/_internal/index/package_finder.py,223,2025-06-13T15:35:13.819052,2025-06-12T21:51:21.576962
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/index/sources.py,.venv/Lib/site-packages/pip/_internal/index/sources.py,203,2025-06-13T15:35:13.822070,2025-06-12T21:51:21.649767
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/index/__init__.py,.venv/Lib/site-packages/pip/_internal/index/__init__.py,202,2025-06-13T15:35:13.825072,2025-06-12T21:51:21.733323
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/locations/base.py,.venv/Lib/site-packages/pip/_internal/locations/base.py,194,2025-06-13T15:35:13.862456,2025-06-12T21:51:21.817638
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/locations/_distutils.py,.venv/Lib/site-packages/pip/_internal/locations/_distutils.py,211,2025-06-13T15:35:13.867670,2025-06-12T21:51:22.036676
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/locations/_sysconfig.py,.venv/Lib/site-packages/pip/_internal/locations/_sysconfig.py,211,2025-06-13T15:35:13.870670,2025-06-12T21:51:22.146925
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/locations/__init__.py,.venv/Lib/site-packages/pip/_internal/locations/__init__.py,202,2025-06-13T15:35:13.874263,2025-06-12T21:51:22.247339
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/base.py,.venv/Lib/site-packages/pip/_internal/metadata/base.py,194,2025-06-13T15:35:13.917545,2025-06-12T21:51:22.515980
