Path,Relative Path,Type,Component,Optimization,Size,Created,Modified,Owner,Permissions,Security Issues,File Type,LOC,Imports Count,Functions Count,Classes Count
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/modules,modules,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/scripts,scripts,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/shared,shared,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/slick,slick,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/slick_ai_system,slick_ai_system,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/src,src,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/system,system,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/telegram_bot,telegram_bot,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/templates,templates,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/tests,tests,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/think_sessions,think_sessions,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/utils,utils,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/vscode_integration,vscode_integration,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/web_interface,web_interface,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deepseek_integration.py,deepseek_integration.py,File,Python Script,Review for Optimization,1666,2025-06-13T15:35:18.478270,2025-06-12T00:48:21.596773,slyslickmojo,0o100777,None,Python,41,2,3,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/fix_imports.py,fix_imports.py,File,Python Script,Review for Optimization,616,2025-06-13T15:35:18.537393,2025-06-13T00:54:38.177896,slyslickmojo,0o100777,None,Python,22,1,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/index.html,index.html,File,Web Asset,No Change Needed,13100,2025-06-13T15:35:18.542392,2025-06-12T05:55:29.388624,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/memupdate.py,memupdate.py,File,Python Script,Review for Optimization,864,2025-06-13T15:35:18.716211,2025-06-02T20:02:00.490557,slyslickmojo,0o100777,None,Python,26,3,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/noise_filter.py,noise_filter.py,File,Python Script,Review for Optimization,502,2025-06-13T15:35:18.779947,2025-06-12T14:26:56.524757,slyslickmojo,0o100777,None,Python,15,2,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/package.json,package.json,File,Config,No Change Needed,318,2025-06-13T15:35:18.785956,2025-06-02T14:04:13.707094,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/programming_analyzer.py,programming_analyzer.py,File,Python Script,Review for Optimization,2801,2025-06-13T15:35:18.788954,2025-06-12T00:40:16.308828,slyslickmojo,0o100777,None,Python,72,2,6,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/project_structure.csv,project_structure.csv,File,Data,No Change Needed,28249,2025-06-13T15:35:18.793086,2025-06-11T20:09:49.988006,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/README.md,README.md,File,Documentation,No Change Needed,5649,2025-06-13T15:35:18.795087,2025-06-13T12:49:32.437459,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/reorganize_slick.sh,reorganize_slick.sh,File,Script,No Change Needed,1097,2025-06-13T15:44:32.848891,2025-06-13T15:44:18.004341,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/requirements.txt,requirements.txt,File,Text Asset,No Change Needed,1495,2025-06-13T15:35:18.807082,2025-06-13T13:48:43.557464,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/run_tests.py,run_tests.py,File,Python Script,Review for Optimization,2819,2025-06-13T15:35:18.810086,2025-06-13T13:23:28.415596,slyslickmojo,0o100777,None,Python,104,7,3,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup.py,setup.py,File,Python Script,Review for Optimization,260,2025-06-13T15:35:18.864117,2025-06-02T20:10:33.765729,slyslickmojo,0o100777,None,Python,13,2,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup_modules.py,setup_modules.py,File,Python Script,Review for Optimization,2676,2025-06-13T15:35:18.868860,2025-06-11T23:54:14.707265,slyslickmojo,0o100777,None,Python,85,3,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup_web_interface.py,setup_web_interface.py,File,Python Script,Review for Optimization,4550,2025-06-13T15:35:18.874116,2025-06-12T00:25:45.607355,slyslickmojo,0o100777,None,Python,150,2,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/SLICK.py,SLICK.py,File,Python Script,Review for Optimization,1669,2025-06-13T15:58:07.834800,2025-06-13T15:58:07.834800,slyslickmojo,0o100777,None,Python,56,7,5,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/Slick_chat.py,Slick_chat.py,File,Python Script,Review for Optimization,15037,2025-06-13T15:35:39.388802,2025-06-12T21:53:18.297480,slyslickmojo,0o100777,None,Python,360,10,20,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/Slick_dashboard.html,Slick_dashboard.html,File,Web Asset,No Change Needed,31090,2025-06-13T15:35:39.392802,2025-06-11T14:07:17,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/slick_start.py,slick_start.py,File,Python Script,Review for Optimization,5406,2025-06-13T15:35:39.398806,2025-06-13T15:33:44.044961,slyslickmojo,0o100777,None,Python,165,11,7,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/streamline_ai.py,streamline_ai.py,File,Python Script,Review for Optimization,8055,2025-06-13T15:35:39.480803,2025-06-13T00:29:59.568670,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,205,3,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/test_advanced_cognition.py,test_advanced_cognition.py,File,Python Script,Review for Optimization,890,2025-06-13T15:35:39.783430,2025-06-13T00:50:29.301875,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,29,4,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/tipts.txt,tipts.txt,File,Text Asset,No Change Needed,236,2025-06-13T15:35:39.794257,2025-06-12T15:11:04.910256,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/verify.py,verify.py,File,Python Script,Review for Optimization,475,2025-06-13T15:35:45.780248,2025-06-12T22:05:17.184623,slyslickmojo,0o100777,None,Python,16,2,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/voice_server.py,voice_server.py,File,Python Script,Review for Optimization,1089,2025-06-13T15:35:45.784250,2025-06-12T21:54:26.053954,slyslickmojo,0o100777,None,Python,37,8,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/__init__.py,__init__.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:46.152128,2025-06-12T21:54:26.227088,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core/adapters,ai_core/adapters,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core/learning_engine,ai_core/learning_engine,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core/adapters/openai_adapter.py,ai_core/adapters/openai_adapter.py,File,Python Script,Review for Optimization,267,2025-06-13T16:41:31.233022,2025-06-13T16:41:31.233022,slyslickmojo,0o100777,None,Python,8,0,2,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core/learning_engine/knowledge_graph.py,ai_core/learning_engine/knowledge_graph.py,File,Python Script,Review for Optimization,1668,2025-06-13T17:26:00.752585,2025-06-13T17:26:00.752585,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,43,1,6,2
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core/learning_engine/training_procesor.py,ai_core/learning_engine/training_procesor.py,File,Python Script,Review for Optimization,1350,2025-06-13T17:07:00.929306,2025-06-13T17:07:00.929306,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,39,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/config,app/config,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/logic,app/logic,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/memory,app/memory,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/systems,app/systems,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/main.py,app/main.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.794438,2025-06-12T21:51:58.551212,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/__init__.py,app/__init__.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.843641,2025-06-12T21:51:59.021675,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/config/paths.py,app/config/paths.py,File,Python Script,Review for Optimization,151,2025-06-13T15:35:17.752261,2025-06-12T21:51:58.319141,slyslickmojo,0o100777,None,Python,4,1,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/config/settings.py,app/config/settings.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.756260,2025-06-12T21:51:58.349382,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/config/__init__.py,app/config/__init__.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.758756,2025-06-12T21:51:58.385338,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/logic/ai_logic.py,app/logic/ai_logic.py,File,Python Script,Review for Optimization,493,2025-06-13T15:35:17.771753,2025-06-12T21:51:58.434083,slyslickmojo,0o100777,None,Python,14,2,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/logic/commands.py,app/logic/commands.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.775438,2025-06-12T21:51:58.455813,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/logic/user_flow.py,app/logic/user_flow.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.778439,2025-06-12T21:51:58.525431,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/memory/memory_engine.py,app/memory/memory_engine.py,File,Python Script,Review for Optimization,852,2025-06-13T15:35:17.807231,2025-06-12T21:51:58.593047,slyslickmojo,0o100777,None,Python,34,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/systems/linux_tools.py,app/systems/linux_tools.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.831878,2025-06-12T21:51:58.622846,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/systems/sync_core.py,app/systems/sync_core.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.836642,2025-06-12T21:51:58.668365,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app/systems/windows_tools.py,app/systems/windows_tools.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.839644,2025-06-12T21:51:58.729063,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/commands,backend/commands,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/ai_integration.py,backend/ai_integration.py,File,Python Script,Review for Optimization,4541,2025-06-13T15:35:17.877192,2025-06-12T21:51:59.104471,slyslickmojo,0o100777,None,Python,123,4,8,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/app.py,backend/app.py,File,Python Script,Review for Optimization,642,2025-06-13T15:35:17.880191,2025-06-12T21:51:59.201672,slyslickmojo,0o100777,None,Python,28,4,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/requirements.txt,backend/requirements.txt,File,Text Asset,No Change Needed,471,2025-06-13T15:35:17.927131,2025-06-11T18:09:28.311961,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/commands/help_me.py,backend/commands/help_me.py,File,Python Script,Review for Optimization,4417,2025-06-13T15:35:17.892136,2025-06-12T21:51:59.299939,slyslickmojo,0o100777,None,Python,97,0,7,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/commands/toggle_commands.py,backend/commands/toggle_commands.py,File,Python Script,Review for Optimization,2944,2025-06-13T15:35:17.895135,2025-06-12T21:51:59.432648,slyslickmojo,0o100777,None,Python,65,2,6,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend/commands/__init__.py,backend/commands/__init__.py,File,Python Script,Review for Optimization,0,2025-06-13T15:35:17.901151,2025-06-12T21:51:59.538236,slyslickmojo,0o100777,None,Python,0,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:,cli/C:,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup,cli/C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/correct_input.py,cli/correct_input.py,File,Python Script,Review for Optimization,772,2025-06-13T15:35:17.990417,2025-06-13T14:03:52.400930,slyslickmojo,0o100777,None,Python,22,3,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/deploy_tools.py,cli/deploy_tools.py,File,Python Script,Review for Optimization,274,2025-06-13T15:35:18.111761,2025-06-12T13:01:20.309522,slyslickmojo,0o100777,None,Python,7,0,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/glossary_sync.py,cli/glossary_sync.py,File,Python Script,Review for Optimization,796,2025-06-13T15:35:18.119982,2025-06-12T13:08:44.743357,slyslickmojo,0o100777,None,Python,20,2,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/help.py,cli/help.py,File,Python Script,Review for Optimization,2073,2025-06-13T15:35:18.126989,2025-06-13T01:41:16.202649,slyslickmojo,0o100777,None,Python,59,3,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/learn_mode.py,cli/learn_mode.py,File,Python Script,Review for Optimization,791,2025-06-13T15:35:18.134825,2025-06-12T12:59:17.227956,slyslickmojo,0o100777,None,Python,26,1,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/order_manager.py,cli/order_manager.py,File,Python Script,Review for Optimization,1475,2025-06-13T15:35:18.140833,2025-06-12T13:57:18.421727,slyslickmojo,0o100777,None,Python,45,5,4,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/plain_knowledge.py,cli/plain_knowledge.py,File,Python Script,Review for Optimization,3823,2025-06-13T15:35:18.146829,2025-06-12T13:35:43.820634,slyslickmojo,0o100777,None,Python,109,7,6,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/report_project.py,cli/report_project.py,File,Python Script,Review for Optimization,18549,2025-06-13T19:07:18.442825,2025-06-13T19:07:18.442825,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,465,18,17,7
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/see_monitor.py,cli/see_monitor.py,File,Python Script,Review for Optimization,1504,2025-06-13T15:35:18.160552,2025-06-12T14:05:50.695749,slyslickmojo,0o100777,None,Python,51,11,4,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/slick_cli.py,cli/slick_cli.py,File,Python Script,Review for Optimization,2010,2025-06-13T15:35:18.170917,2025-06-13T11:21:05.819531,slyslickmojo,0o100777,None,Python,68,6,3,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/status.py,cli/status.py,File,Python Script,Review for Optimization,304,2025-06-13T15:35:18.176914,2025-06-13T01:35:47.156929,slyslickmojo,0o100777,None,Python,8,0,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/step_trainer.py,cli/step_trainer.py,File,Python Script,Review for Optimization,2221,2025-06-13T15:35:18.184915,2025-06-12T13:51:25.881559,slyslickmojo,0o100777,None,Python,67,3,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/sync_vscode.py,cli/sync_vscode.py,File,Python Script,Review for Optimization,872,2025-06-13T15:35:18.188908,2025-06-13T11:54:26.251867,slyslickmojo,0o100777,None,Python,30,5,2,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/tools.py,cli/tools.py,File,Python Script,Review for Optimization,345,2025-06-13T15:35:18.191267,2025-06-12T13:02:43.904134,slyslickmojo,0o100777,None,Python,9,1,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/__init__,cli/__init__,File,Other,No Change Needed,1245,2025-06-13T15:35:18.195266,2025-06-12T20:28:19.505011,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users,cli/C:/Users,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick,cli/C:/Users/slick,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive,cli/C:/Users/slick/OneDrive,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop,cli/C:/Users/slick/OneDrive/Desktop,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system,cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cognitive/interest_enhancer.py,cognitive/interest_enhancer.py,File,Python Script,Review for Optimization,501,2025-06-13T15:35:18.222665,2025-06-11T23:07:42.828068,slyslickmojo,0o100777,None,Python,16,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cognitive/learning_adapter.py,cognitive/learning_adapter.py,File,Python Script,Review for Optimization,756,2025-06-13T15:35:18.226664,2025-06-11T23:07:42.575643,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,27,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cognitive/__init__.py,cognitive/__init__.py,File,Python Script,Review for Optimization,24,2025-06-13T15:35:18.229039,2025-06-11T23:07:42.363058,slyslickmojo,0o100777,None,Python,1,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config/command_registry.csv,config/command_registry.csv,File,Data,No Change Needed,250,2025-06-13T15:35:18.242367,2025-06-11T18:04:37.635065,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config/preferences_loader.py,config/preferences_loader.py,File,Python Script,Review for Optimization,726,2025-06-13T15:35:18.245370,2025-06-11T23:07:37.758439,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,17,1,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config/profile_loader.py,config/profile_loader.py,File,Python Script,Review for Optimization,1462,2025-06-13T15:35:18.250519,2025-06-11T23:07:37.137945,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,38,2,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config/settings.py,config/settings.py,File,Python Script,Review for Optimization,431,2025-06-13T15:35:18.254172,2025-06-13T00:30:57.631952,slyslickmojo,0o100777,None,Python,16,2,1,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config/slick_env_config.csv,config/slick_env_config.csv,File,Data,No Change Needed,447,2025-06-13T15:35:18.258179,2025-06-12T19:54:43.511364,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config/__init__.py,config/__init__.py,File,Python Script,Review for Optimization,28,2025-06-13T15:35:18.261176,2025-06-11T23:07:35.864650,slyslickmojo,0o100777,None,Python,1,0,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/core/ai_models,core/ai_models,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/core/cognitive_engine,core/cognitive_engine,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
