Path,Type,Status,Component,Optimization
slick/SLICK_AI/cosmic_front.html,Web Asset,Other,CLI,No Change Needed
slick/SLICK_AI/Cosmic_front.py,Python Script,Other,Web Server,No Change Needed
"slick/SLICK_AI/GG_WEB,html.txt",Documentation,Other,General Functionality,No Change Needed
slick/SLICK_AI/hybrid.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/logic.py,Python Script,Other,Data Processing,No Change Needed
slick/SLICK_AI/myHTML,Other,Other,Web Server,No Change Needed
slick/SLICK_AI/myHTML.py,Python Script,Other,Data Processing,No Change Needed
slick/SLICK_AI/openai.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/READ.ME.md,Documentation,Other,Web Server,No Change Needed
slick/SLICK_AI/requirements.txt,Documentation,Other,Web Server,No Change Needed
slick/SLICK_AI/Slick_chat.py,AI Core Module,Other,General Functionality,No Change Needed
slick/SLICK_AI/Slick_dashboard.html,Web Asset,Other,General Functionality,No Change Needed
slick/SLICK_AI/speech_recognition.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/voice_assistant.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/voice_input.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/__main__,Other,Other,General Functionality,No Change Needed
slick/SLICK_AI/frontend,Directory,Other Directory,-,Review Structure
slick/SLICK_AI/frontend/index.html,Web Asset,Other,General Functionality,No Change Needed
slick/SLICK_AI/frontend/script.js,Web Asset,Other,CLI,No Change Needed
slick/SLICK_AI/frontend/style.css,Web Asset,Other,General Functionality,No Change Needed
slick/SLICK_AI/game_ai,Directory,Other Directory,-,Review Structure
slick/SLICK_AI/game_ai/AI_BEHAVIOR.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_BEHAVIOR_EXT.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_DIALOGUE_EXT.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_EMOTION.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_EVENTBUS.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_INTEGRATION.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_MEMORY.PY,AI Core Module,Other,General Functionality,Consider moving to memory/
slick/SLICK_AI/game_ai/AI_MODEL.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/AI_TASKSCHEDULER.py,AI Core Module,Other,General Functionality,Consider moving to core/
slick/SLICK_AI/game_ai/CognitiveCore.py,Python Script,Other,Data Processing,No Change Needed
slick/SLICK_AI/game_ai/cognitive_logic_unit.py,AI Core Module,Other,Data Processing,No Change Needed
slick/SLICK_AI/game_ai/game.py,Python Script,Other,CLI,No Change Needed
slick/SLICK_AI/plugins,Directory,Other Directory,-,Review Structure
slick/SLICK_AI/plugins/actions,Directory,Other Directory,-,Review Structure
slick/SLICK_AI/plugins/actions/action_app.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/plugins/actions/action_lights.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/plugins/actions/action_meeting.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/plugins/actions/action_preference.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/plugins/actions/action_spawn.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/plugins/actions/action_web.py,Python Script,Other,General Functionality,No Change Needed
slick/SLICK_AI/templates,Directory,Primary Module,-,Well-Structured
slick/SLICK_AI/templates/ai_intergration,Other,Primary,General Functionality,Well-Structured
slick/SLICK_AI/templates/dashboard.html,Web Asset,Primary,General Functionality,Well-Structured
slick/system,Directory,Primary Module,-,Well-Structured
slick/system/boot_loader.py,System Module,Primary,General Functionality,Well-Structured
slick/system/core.py,System Module,Primary,General Functionality,Well-Structured
src,Directory,Other Directory,-,Review Structure
src/App.js,Web Asset,Other,CLI,No Change Needed
src/index.js,Web Asset,Other,General Functionality,No Change Needed
src/cli,Directory,Primary Module,-,Well-Structured
src/cli/M.py,Cli Module,Primary,CLI,Well-Structured
src/cli/S.py,Cli Module,Primary,CLI,Well-Structured
src/cli/U.py,Cli Module,Primary,CLI,Well-Structured
src/cli/__main__.py,Cli Module,Primary,General Functionality,Well-Structured
src/core,Directory,Primary Module,-,Well-Structured
src/modules,Directory,Primary Module,-,Well-Structured
src/modules/AutoMemory_Routes.py,Modules Module,Primary,Web Server,Well-Structured
src/modules/Auto_Master_Loader.py,Modules Module,Primary,General Functionality,Well-Structured
src/modules/Master_Loader.py,Modules Module,Primary,General Functionality,Well-Structured
src/web,Directory,Other Directory,-,Review Structure
src/web/app.py,Python Script,Other,Web Server,No Change Needed
src/web/static,Directory,Other Directory,-,Review Structure
src/web/templates,Directory,Primary Module,-,Well-Structured
system,Directory,Primary Module,-,Well-Structured
system/boot_loader.py,System Module,Primary,General Functionality,Well-Structured
system/maintenance_scheduler.py,System Module,Primary,General Functionality,Well-Structured
system/__init__.py,System Module,Primary,General Functionality,Well-Structured
system/logs,Directory,Primary Module,-,Well-Structured
system/logs/backup.log,Other,Primary,Config,Well-Structured
system/voice_logs,Directory,Primary Module,-,Well-Structured
telegram_bot,Directory,Other Directory,-,Review Structure
telegram_bot/bot.py,Python Script,Other,General Functionality,No Change Needed
templates,Directory,Primary Module,-,Well-Structured
templates/SLICK.html,Web Asset,Primary,CLI,Well-Structured
tests,Directory,Primary Module,-,Well-Structured
tests/test_memory.py,Tests Module,Primary,General Functionality,Well-Structured
tests/test_routes.py,Tests Module,Primary,General Functionality,Well-Structured
tests/test_tools.py,Tests Module,Primary,General Functionality,Well-Structured
web_interface,Directory,Primary Module,-,Well-Structured
web_interface/app.py,Web_interface Module,Primary,Web Server,Well-Structured
web_interface/voice_interface.py,Web_interface Module,Primary,General Functionality,Well-Structured
web_interface/__init__.py,Web_interface Module,Primary,General Functionality,Well-Structured
web_interface/static,Directory,Primary Module,-,Well-Structured
web_interface/static/script.js,Web Asset,Primary,CLI,Well-Structured
web_interface/static/style.css,Web Asset,Primary,General Functionality,Well-Structured
web_interface/static/js,Directory,Primary Module,-,Well-Structured
web_interface/static/js/programmer.js,Web Asset,Primary,CLI,Well-Structured
web_interface/templates,Directory,Primary Module,-,Well-Structured
web_interface/templates/index.html,Web Asset,Primary,General Functionality,Well-Structured
web_interface/templates/programmer_interface.html,Web Asset,Primary,General Functionality,Well-Structured
